max iter: 1000 size: 100
"2" 30 99 63 3 0
"3" 8 1324 559 22 0
"4" 5 396 1993 145 2
"5" 1 41 489 432 5
"6" 0 6 72 63 30
"7" 0 0 0 2 1
----- l = 0.37
"2" "3" "4" "5" "6"
"1" 1 18 6 1 0
"2" 24 127 39 5 0
"3" 4 1526 349 33 1
"4" 1 616 1647 277 0
"5" 1 69 308 587 3
"6" 0 4 69 89 9
"7" 0 0 1 2 0
----- l = 0.38
"2" "3" "4" "5" "6"
"1" 3 12 10 1 0
"2" 23 103 65 4 0
"3" 11 1227 650 25 0
"4" 12 294 2060 175 0
"5" 0 31 472 461 4
"6" 0 2 80 74 15
"7" 0 0 0 3 0
----- l = 0.39
"2" "3" "4" "5" "6"
"1" 2 13 11 0 0
"2" 38 75 82 0 0
"3" 4 1235 651 23 0
"4" 8 267 2138 125 3
"5" 1 24 571 365 7
"6" 0 0 93 58 20
"7" 0 0 2 1 0
----- l = 0.4
"2" "3" "4" "5" "6"
"1" 0 14 11 1 0
"2" 30 89 67 9 0
"3" 2 1195 697 19 0
"4" 7 261 2148 124 1
"5" 0 29 532 406 1
"6" 0 2 111 52 6
"7" 0 0 1 1 1
----- l = 0.41
"2" "3" "4" "5" "6"
"1" 0 17 8 1 0
"2" 21 110 62 1 1
"3" 8 1342 543 20 0
"4" 3 394 2032 112 0
"5" 0 43 520 401 4
"6" 0 0 104 55 12
"7" 0 0 0 3 0
----- l = 0.42
"2" "3" "4" "5" "6"
"1" 2 13 10 0 1
"2" 36 107 45 7 0
"3" 6 1352 487 64 4
"4" 9 429 1707 383 13
"5" 0 33 265 657 13
"6" 0 1 41 85 44
"7" 0 0 0 3 0
----- l = 0.43
"2" "3" "4" "5" "6"
"1" 2 15 8 1 0
"2" 42 110 37 5 1
"3" 6 1358 474 74 1
"4" 10 453 1786 292 0
"5" 1 37 328 601 1
"6" 0 2 59 91 19
"7" 0 0 0 3 0
----- l = 0.44
"2" "3" "4" "5" "6"
"1" 2 18 4 0 2
"2" 33 107 52 2 1
"3" 7 1484 375 46 1
"4" 4 542 1672 317 6
"5" 0 59 295 606 8
"6" 0 4 56 79 32
"7" 0 0 0 3 0
----- l = 0.45
"2" "3" "4" "5" "6"
"1" 0 18 5 2 1
"2" 17 124 45 9 0
"3" 4 1461 370 78 0
"4" 3 501 1612 419 6
"5" 0 54 267 639 8
"6" 2 2 42 80 45
"7" 0 0 0 2 1
----- l = 0.46
"2" "3" "4" "5" "6"
"1" 3 10 13 0 0
"2" 39 93 61 2 0
"3" 12 1365 521 15 0
"4" 13 420 1946 155 7
"5" 2 58 440 454 14
"6" 0 6 81 40 44
"7" 0 0 1 2 0
----- l = 0.47
"2" "3" "4" "5" "6"
"1" 0 21 4 1 0
"2" 37 119 32 7 0
"3" 5 1488 376 42 2
"4" 8 548 1676 306 3
"5" 1 53 299 615 0
"6" 0 3 57 91 20
"7" 0 0 0 3 0
----- l = 0.48
"2" "3" "4" "5" "6"
"1" 1 17 8 0 0
"2" 38 120 34 2 1
"3" 7 1532 349 25 0
"4" 11 594 1770 162 4
"5" 1 69 408 477 13
"6" 0 7 77 50 37
"7" 0 0 1 2 0
----- l = 0.49
"2" "3" "4" "5" "6"
"1" 2 11 13 0 0
"2" 42 80 72 1 0
"3" 11 1063 831 8 0
"4" 6 211 2279 45 0
"5" 3 19 661 284 1
"6" 0 0 129 36 6
"7" 0 0 1 1 1
----- l = 0.5
"2" "3" "4" "5" "6"
"1" 0 14 11 0 1
"2" 37 85 71 2 0
"3" 5 1236 655 16 1
"4" 3 326 2111 99 2
"5" 1 34 550 377 6
"6" 0 2 95 49 25
"7" 0 0 1 1 1
----- l = 0.51
"2" "3" "4" "5" "6"
"1" 0 17 6 0 3
"2" 31 108 54 2 0
"3" 6 1386 492 26 3
"4" 8 467 1907 146 13
"5" 0 43 416 492 17
"6" 0 3 65 65 38
"7" 0 0 1 1 1
----- l = 0.52
"2" "3" "4" "5" "6"
"1" 0 17 7 1 1
"2" 47 85 58 4 1
"3" 17 1332 545 18 1
"4" 11 391 1967 160 12
"5" 1 37 465 456 9
"6" 0 2 81 49 39
"7" 0 0 1 2 0
----- l = 0.53
"2" "3" "4" "5" "6"
"1" 5 10 10 1 0
"2" 36 70 89 0 0
"3" 14 1143 733 22 1
"4" 12 250 2145 126 8
"5" 0 14 540 411 3
"6" 0 0 98 50 23
"7" 0 0 1 1 1
----- l = 0.54
"2" "3" "4" "5" "6"
"1" 2 15 7 1 1
"2" 24 124 45 2 0
"3" 1 1516 372 24 0
"4" 9 614 1756 158 4
"5" 0 71 426 461 10
"6" 0 7 71 60 33
"7" 0 0 1 2 0
----- l = 0.55
"2" "3" "4" "5" "6"
"1" 2 16 7 1 0
"2" 47 87 53 8 0
"3" 18 1394 452 48 1
"4" 15 427 1796 301 2
"5" 2 41 295 627 3
"6" 1 2 51 82 35
"7" 0 0 0 3 0
----- l = 0.56
"2" "3" "4" "5" "6"
"1" 0 18 6 2 0
"2" 32 85 74 4 0
"3" 5 1213 668 26 1
"4" 3 266 2102 168 2
"5" 0 17 488 460 3
"6" 0 0 96 38 37
"7" 0 0 1 2 0
----- l = 0.57
"2" "3" "4" "5" "6"
"1" 3 12 10 0 1
"2" 41 90 59 4 1
"3" 15 1247 622 27 2
"4" 11 258 2121 148 3
"5" 1 22 486 456 3
"6" 0 0 81 50 40
"7" 0 0 0 3 0
----- l = 0.58
"2" "3" "4" "5" "6"
"1" 3 14 8 0 1
"2" 32 97 62 1 3
"3" 2 1242 643 25 1
"4" 7 316 2087 126 5
"5" 2 38 477 443 8
"6" 0 7 79 47 38
"7" 0 0 1 1 1
----- l = 0.59
"2" "3" "4" "5" "6"
"1" 1 14 8 1 2
"2" 25 80 88 1 1
"3" 6 1320 566 19 2
"4" 1 331 2108 98 3
"5" 0 41 541 379 7
"6" 0 3 100 40 28
"7" 0 0 1 2 0
----- l = 0.6
"2" "3" "4" "5" "6"
"1" 0 16 10 0 0
"2" 41 101 52 1 0
"3" 8 1427 459 17 2
"4" 5 436 2003 92 5
"5" 0 56 529 367 16
"6" 0 1 96 29 45
"7" 0 0 1 1 1
----- l = 0.61
"2" "3" "4" "5" "6"
"1" 2 17 6 1 0
"2" 31 101 59 3 1
"3" 4 1375 511 20 3
"4" 6 379 2006 146 4
"5" 1 34 491 434 8
"6" 0 2 76 43 50
"7" 0 0 1 1 1
----- l = 0.62
"2" "3" "4" "5" "6"
"1" 3 7 15 0 1
"2" 55 57 81 2 0
"3" 17 987 902 6 1
"4" 13 147 2338 42 1
"5" 0 13 670 284 1
"6" 2 0 105 28 36
"7" 0 0 2 1 0
----- l = 0.63
"2" "3" "4" "5" "6"
"1" 0 14 11 1 0
"2" 38 82 72 3 0
"3" 11 1226 646 29 1
"4" 6 259 2143 129 4
"5" 0 20 524 415 9
"6" 0 0 91 49 31
"7" 0 0 1 1 1
----- l = 0.64
"2" "3" "4" "5" "6"
"1" 1 19 3 2 1
"2" 18 153 19 5 0
"3" 1 1696 151 64 1
"4" 5 939 1221 362 14
"5" 1 106 208 639 14
"6" 0 15 31 83 42
"7" 0 0 1 1 1
----- l = 0.65
"2" "3" "4" "5" "6"
"1" 1 13 10 0 2
"2" 29 86 78 2 0
"3" 6 1172 721 12 2
"4" 2 265 2191 80 3
"5" 0 22 548 395 3
"6" 0 0 99 33 39
"7" 0 0 1 1 1
----- l = 0.66
"2" "3" "4" "5" "6"
"1" 1 16 8 0 1
"2" 37 111 45 1 1
"3" 13 1501 382 13 4
"4" 9 591 1856 80 5
"5" 2 68 510 367 21
"6" 0 4 81 34 52
"7" 0 0 1 2 0
----- l = 0.67
"2" "3" "4" "5" "6"
"1" 0 18 7 0 1
"2" 21 123 47 4 0
"3" 2 1501 372 35 3
"4" 3 571 1832 134 1
"5" 0 71 464 426 7
"6" 1 4 80 55 31
"7" 0 0 0 2 1
----- l = 0.68
"2" "3" "4" "5" "6"
"1" 4 11 10 1 0
"2" 44 97 51 3 0
"3" 22 1611 265 14 1
"4" 13 694 1663 165 6
"5" 1 94 397 472 4
"6" 2 12 57 69 31
"7" 0 0 0 3 0
----- l = 0.69
"2" "3" "4" "5" "6"
"1" 0 17 6 1 2
"2" 20 125 46 4 0
"3" 1 1554 331 26 1
"4" 1 572 1732 235 1
"5" 1 62 357 546 2
"6" 0 0 61 93 17
"7" 0 0 1 2 0
----- l = 0.7
"2" "3" "4" "5" "6"
"1" 1 17 7 1 0
"2" 36 105 51 3 0
"3" 7 1409 460 37 0
"4" 3 387 1974 176 1
"5" 1 52 377 534 4
"6" 0 4 83 59 25
"7" 0 0 1 1 1
----- l = 0.71
"2" "3" "4" "5" "6"
"1" 1 12 13 0 0
"2" 33 86 76 0 0
"3" 3 1262 641 7 0
"4" 0 263 2207 68 3
"5" 0 24 639 299 6
"6" 0 0 112 32 27
"7" 0 0 1 2 0
----- l = 0.72
"2" "3" "4" "5" "6"
"1" 3 16 5 1 1
"2" 44 91 52 7 1
"3" 10 1348 509 45 1
"4" 13 367 1922 237 2
"5" 2 30 339 589 8
"6" 0 1 66 63 41
"7" 0 0 0 3 0
----- l = 0.73
"2" "3" "4" "5" "6"
"1" 2 13 5 3 3
"2" 34 92 63 6 0
"3" 5 1139 748 18 3
"4" 6 290 2135 109 1
"5" 0 25 492 448 3
"6" 0 2 90 56 23
"7" 0 0 1 2 0
----- l = 0.74
"2" "3" "4" "5" "6"
"1" 4 15 4 1 2
"2" 42 96 56 1 0
"3" 13 1294 585 19 2
"4" 17 338 2062 124 0
"5" 2 42 474 446 4
"6" 0 6 85 52 28
"7" 0 0 0 2 1
----- l = 0.75
"2" "3" "4" "5" "6"
"1" 0 21 4 1 0
"2" 27 119 46 3 0
"3" 5 1466 411 28 3
"4" 5 524 1884 123 5
"5" 0 49 427 488 4
"6" 0 1 81 51 38
"7" 0 0 1 1 1
----- l = 0.76
"2" "3" "4" "5" "6"
"1" 1 18 5 0 2
"2" 25 107 60 3 0
"3" 0 1395 486 22 10
"4" 2 423 1936 168 12
"5" 0 43 421 490 14
"6" 0 6 61 55 49
"7" 0 0 0 2 1
----- l = 0.77
"2" "3" "4" "5" "6"
"1" 1 13 10 1 1
"2" 30 107 56 1 1
