max iter: 1000 size: 100
"6" 0 1 118 48 4
"7" 0 0 1 2 0
----- l = 0.38
"2" "3" "4" "5" "6"
"1" 0 19 7 0 0
"2" 3 125 61 5 1
"3" 0 1269 617 25 2
"4" 0 528 1853 141 19
"5" 0 64 555 330 19
"6" 0 2 90 56 23
"7" 0 0 1 2 0
----- l = 0.39
"2" "3" "4" "5" "6"
"1" 1 15 10 0 0
"2" 14 102 79 0 0
"3" 6 996 898 12 1
"4" 1 361 2070 107 2
"5" 0 17 700 250 1
"6" 0 0 114 52 5
"7" 0 0 0 3 0
----- l = 0.4
"2" "3" "4" "5" "6"
"1" 1 12 13 0 0
"2" 6 96 90 3 0
"3" 4 970 917 22 0
"4" 1 312 2083 143 2
"5" 0 17 648 293 10
"6" 0 2 110 45 14
"7" 0 0 1 2 0
----- l = 0.41
"2" "3" "4" "5" "6"
"1" 1 18 7 0 0
"2" 11 122 60 1 1
"3" 0 1384 509 19 1
"4" 2 723 1671 143 2
"5" 0 69 577 317 5
"6" 0 1 103 55 12
"7" 0 0 0 3 0
----- l = 0.42
"2" "3" "4" "5" "6"
"1" 2 14 10 0 0
"2" 21 97 74 3 0
"3" 8 1181 711 13 0
"4" 4 444 1980 113 0
"5" 0 30 662 276 0
"6" 0 0 104 64 3
"7" 0 0 1 2 0
----- l = 0.43
"2" "3" "4" "5" "6"
"1" 3 14 9 0 0
"2" 25 90 76 4 0
"3" 15 1100 754 43 1
"4" 6 364 1923 247 1
"5" 0 25 529 411 3
"6" 0 0 99 66 6
"7" 0 0 1 2 0
----- l = 0.44
"2" "3" "4" "5" "6"
"1" 0 16 10 0 0
"2" 5 112 76 2 0
"3" 2 1228 657 26 0
"4" 0 517 1862 162 0
"5" 0 47 567 354 0
"6" 0 2 105 61 3
"7" 0 0 1 2 0
----- l = 0.45
"2" "3" "4" "5" "6"
"1" 1 18 7 0 0
"2" 5 127 59 4 0
"3" 2 1296 601 14 0
"4" 0 597 1876 67 1
"5" 0 57 685 224 2
"6" 0 1 125 42 3
"7" 0 0 1 2 0
----- l = 0.46
"2" "3" "4" "5" "6"
"1" 0 11 15 0 0
"2" 2 93 99 1 0
"3" 1 1009 901 2 0
"4" 0 334 2179 28 0
"5" 0 16 811 141 0
"6" 0 0 142 24 5
"7" 0 0 3 0 0
----- l = 0.47
"2" "3" "4" "5" "6"
"1" 0 14 12 0 0
"2" 5 111 78 1 0
"3" 1 1081 820 11 0
"4" 0 427 2006 108 0
"5" 0 23 659 286 0
"6" 0 1 115 50 5
"7" 0 0 1 2 0
----- l = 0.48
"2" "3" "4" "5" "6"
"1" 0 19 6 1 0
"2" 5 148 27 15 0
"3" 2 1482 334 95 0
"4" 1 861 1087 587 5
"5" 0 96 257 612 3
"6" 0 4 47 108 12
"7" 0 0 0 3 0
----- l = 0.49
"2" "3" "4" "5" "6"
"1" 1 14 10 1 0
"2" 24 95 72 4 0
"3" 6 1157 712 37 1
"4" 6 428 1903 201 3
"5" 0 30 574 363 1
"6" 0 1 104 51 15
"7" 0 0 0 3 0
----- l = 0.5
"2" "3" "4" "5" "6"
"1" 0 18 8 0 0
"2" 15 131 45 4 0
"3" 5 1375 475 58 0
"4" 3 683 1544 310 1
"5" 0 70 443 454 1
"6" 0 2 67 96 6
"7" 0 0 0 3 0
----- l = 0.51
"2" "3" "4" "5" "6"
"1" 0 17 9 0 0
"2" 6 93 95 1 0
"3" 2 984 922 5 0
"4" 2 311 2140 87 1
"5" 0 15 709 244 0
"6" 0 0 120 45 6
"7" 0 0 0 3 0
----- l = 0.52
"2" "3" "4" "5" "6"
"1" 3 12 11 0 0
"2" 18 89 86 2 0
"3" 8 1090 809 6 0
"4" 2 399 2096 43 1
"5" 0 26 748 190 4
"6" 0 0 122 34 15
"7" 0 0 2 1 0
----- l = 0.53
"2" "3" "4" "5" "6"
"1" 2 16 8 0 0
"2" 13 123 57 2 0
"3" 6 1356 522 29 0
"4" 2 633 1700 206 0
"5" 0 48 555 365 0
"6" 0 1 106 62 2
"7" 0 0 0 3 0
----- l = 0.54
"1" "2" "3" "4" "5" "6"
"1" 3 0 14 8 1 0
"2" 0 3 128 60 4 0
"3" 0 1 1346 519 47 0
"4" 0 0 614 1597 329 1
"5" 0 0 46 441 480 1
"6" 0 0 2 71 91 7
"7" 0 0 0 0 3 0
----- l = 0.55
"2" "3" "4" "5" "6"
"1" 0 17 9 0 0
"2" 14 100 80 1 0
"3" 3 1136 761 10 3
"4" 4 432 2016 83 6
"5" 0 33 694 234 7
"6" 0 0 130 34 7
"7" 0 0 1 2 0
----- l = 0.56
"2" "3" "4" "5" "6"
"1" 3 13 9 1 0
"2" 10 98 87 0 0
"3" 3 1095 792 22 1
"4" 2 374 2003 162 0
"5" 0 22 645 298 3
"6" 0 0 108 55 8
"7" 0 0 1 2 0
----- l = 0.57
"2" "3" "4" "5" "6"
"1" 0 18 7 1 0
"2" 10 125 59 1 0
"3" 4 1298 594 17 0
"4" 1 574 1840 124 2
"5" 0 43 636 289 0
"6" 0 3 110 51 7
"7" 0 0 0 3 0
----- l = 0.58
"2" "3" "4" "5" "6"
"1" 1 16 7 2 0
"2" 11 126 54 4 0
"3" 3 1326 534 50 0
"4" 1 566 1648 323 3
"5" 0 44 430 492 2
"6" 0 0 75 86 10
"7" 0 0 0 3 0
----- l = 0.59
"2" "3" "4" "5" "6"
"1" 2 12 12 0 0
"2" 26 76 91 2 0
"3" 20 1062 808 23 0
"4" 6 342 2060 133 0
"5" 0 19 676 273 0
"6" 0 0 113 57 1
"7" 0 0 1 2 0
----- l = 0.6
"2" "3" "4" "5" "6"
"1" 0 18 8 0 0
"2" 10 112 71 2 0
"3" 1 1211 665 36 0
"4" 2 481 1859 199 0
"5" 0 27 583 358 0
"6" 0 4 99 65 3
"7" 0 0 0 3 0
----- l = 0.61
"2" "3" "4" "5" "6"
"1" 1 15 9 0 1
"2" 14 98 82 1 0
"3" 3 1125 762 21 2
"4" 2 400 2006 130 3
"5" 0 24 633 310 1
"6" 0 2 104 55 10
"7" 0 0 1 2 0
----- l = 0.62
"2" "3" "4" "5" "6"
"1" 1 18 6 1 0
"2" 21 120 49 5 0
"3" 8 1405 417 83 0
"4" 9 744 1289 497 2
"5" 1 53 321 593 0
"6" 0 5 45 119 2
"7" 0 0 0 3 0
----- l = 0.63
"2" "3" "4" "5" "6"
"1" 2 11 13 0 0
"2" 31 56 108 0 0
"3" 24 743 1142 3 1
"4" 11 209 2275 46 0
"5" 1 9 774 184 0
"6" 0 0 143 27 1
"7" 0 0 1 2 0
----- l = 0.64
"2" "3" "4" "5" "6"
"1" 1 12 12 1 0
"2" 17 65 112 1 0
"3" 7 840 1060 4 2
"4" 6 237 2238 60 0
"5" 0 10 760 196 2
"6" 0 0 122 43 6
"7" 0 0 2 1 0
----- l = 0.65
"2" "3" "4" "5" "6"
"1" 1 15 10 0 0
"2" 6 107 81 1 0
"3" 2 1207 682 22 0
"4" 1 494 1904 141 1
"5" 0 32 601 335 0
"6" 0 2 97 63 9
"7" 0 0 0 3 0
----- l = 0.66
"2" "3" "4" "5" "6"
"1" 0 19 7 0 0
"2" 3 128 63 1 0
"3" 0 1325 581 7 0
"4" 0 581 1871 88 1
"5" 0 47 670 247 4
"6" 0 1 121 44 5
"7" 0 0 1 2 0
----- l = 0.67
"2" "3" "4" "5" "6"
"1" 3 16 5 2 0
"2" 19 123 51 2 0
"3" 3 1436 444 30 0
"4" 6 755 1630 148 2
"5" 0 60 587 320 1
"6" 0 6 107 52 6
"7" 0 0 1 2 0
----- l = 0.68
"2" "3" "4" "5" "6"
"1" 1 15 8 1 1
"2" 12 89 93 1 0
"3" 4 1074 819 15 1
"4" 1 404 2034 102 0
"5" 0 22 661 285 0
"6" 0 0 117 49 5
"7" 0 0 1 2 0
----- l = 0.69
"2" "3" "4" "5" "6"
"1" 0 18 8 0 0
"2" 21 93 79 1 1
"3" 9 1051 834 19 0
"4" 11 384 2017 129 0
"5" 0 21 646 300 1
"6" 0 2 108 53 8
"7" 0 0 0 3 0
----- l = 0.7
"2" "3" "4" "5" "6"
"1" 0 18 7 0 1
"2" 14 93 87 1 0
"3" 2 1159 731 21 0
"4" 0 405 1992 144 0
"5" 0 31 621 313 3
"6" 0 0 107 54 10
"7" 0 0 0 3 0
----- l = 0.71
"2" "3" "4" "5" "6"
"1" 1 13 12 0 0
"2" 8 87 98 2 0
"3" 2 1006 899 6 0
"4" 2 303 2173 63 0
"5" 0 16 751 201 0
"6" 0 0 133 35 3
"7" 0 0 1 2 0
----- l = 0.72
"2" "3" "4" "5" "6"
"1" 3 12 11 0 0
"2" 22 80 92 1 0
"3" 16 1009 874 10 4
"4" 6 338 2091 102 4
"5" 0 11 688 269 0
"6" 0 0 109 53 9
"7" 0 0 1 2 0
----- l = 0.73
"2" "3" "4" "5" "6"
"1" 1 17 7 1 0
"2" 7 114 73 1 0
"3" 2 1199 702 9 1
"4" 1 475 1953 111 1
"5" 0 40 658 265 5
"6" 0 3 113 40 15
"7" 0 0 1 2 0
----- l = 0.74
"2" "3" "4" "5" "6"
"1" 3 13 9 1 0
"2" 37 80 75 3 0
"3" 30 1100 776 7 0
"4" 17 382 2096 46 0
"5" 3 24 735 205 1
"6" 0 0 131 35 5
"7" 0 0 3 0 0
----- l = 0.75
"2" "3" "4" "5" "6"
"1" 2 12 11 1 0
"2" 17 98 78 2 0
"3" 12 1059 818 24 0
"4" 4 373 1949 215 0
"5" 0 30 548 390 0
"6" 0 2 84 82 3
"7" 0 0 0 3 0
----- l = 0.76
"2" "3" "4" "5" "6"
"1" 0 22 4 0 0
"2" 6 146 39 4 0
"3" 1 1501 378 33 0
"4" 0 912 1425 203 1
"5" 0 102 493 369 4
"6" 0 3 85 74 9
"7" 0 0 0 3 0
----- l = 0.77
"2" "3" "4" "5" "6"
"1" 1 16 6 3 0
"2" 15 99 72 8 1
"3" 7 1170 686 47 3
"4" 6 428 1873 232 2
"5" 0 30 554 384 0
"6" 0 0 95 72 4
"7" 0 0 0 3 0
----- l = 0.78
"2" "3" "4" "5" "6"
"1" 0 16 10 0 0
"2" 15 107 72 1 0
"3" 5 1269 616 22 1
"4" 3 532 1827 172 7
"5" 0 38 579 344 7
"6" 0 0 100 57 14
"7" 0 0 0 3 0
----- l = 0.79
"2" "3" "4" "5" "6"
"1" 0 18 8 0 0
"2" 8 129 54 4 0
"3" 2 1399 471 40 1
"4" 4 684 1593 257 3
"5" 0 52 479 431 6
"6" 0 5 70 83 13
"7" 0 0 0 3 0
----- l = 0.8
"2" "3" "4" "5" "6"
"1" 3 16 7 0 0
"2" 27 92 72 4 0
"3" 12 1227 627 46 1
"4" 13 471 1758 298 1
"5" 0 29 489 450 0
"6" 0 0 81 85 5
"7" 0 0 1 2 0
----- l = 0.81
"2" "3" "4" "5" "6"
"1" 1 11 11 3 0
"2" 21 68 103 3 0
"3" 11 897 971 34 0
"4" 7 259 2026 248 1
"5" 0 18 535 414 1
"6" 0 2 78 73 18
"7" 0 0 0 3 0
----- l = 0.82
"2" "3" "4" "5" "6"
"1" 3 14 8 1 0
"2" 15 129 45 6 0
"3" 5 1531 333 43 1
"4" 2 981 1259 299 0
"5" 0 97 431 440 0
"6" 0 6 72 88 5
"7" 0 0 0 3 0
----- l = 0.83
"2" "3" "4" "5" "6"
"1" 1 18 5 2 0
"2" 13 136 45 1 0
"3" 10 1497 364 41 1
"4" 6 901 1407 227 0
"5" 0 97 445 423 3
"6" 0 9 82 71 9
"7" 0 0 1 2 0
----- l = 0.84
"2" "3" "4" "5" "6"
"1" 1 13 11 1 0
"2" 19 82 93 1 0
"3" 7 1013 885 8 0
"4" 5 323 2171 41 1
"5" 0 21 762 185 0
"6" 0 2 125 37 7
"7" 0 0 1 2 0
----- l = 0.85
"2" "3" "4" "5" "6"
"1" 2 12 12 0 0
"2" 16 82 95 2 0
"3" 12 933 944 22 2
"4" 8 295 2113 125 0
"5" 0 18 658 283 9
"6" 0 0 118 43 10
"7" 0 0 0 3 0
----- l = 0.86
"2" "3" "4" "5" "6"
"1" 0 17 9 0 0
"2" 8 102 82 3 0
"3" 0 1159 727 27 0
"4" 0 423 1947 171 0
"5" 0 19 574 375 0
"6" 0 1 97 71 2
"7" 0 0 1 2 0
----- l = 0.87
"2" "3" "4" "5"
"1" 2 11 12 1
"2" 13 95 86 1
"3" 6 1191 696 20
"4" 3 429 1989 120
"5" 0 24 651 293
"6" 0 0 118 53
"7" 0 0 1 2
----- l = 0.88
"2" "3" "4" "5" "6"
"1" 0 15 10 1 0
"2" 16 106 67 6 0
"3" 0 1224 635 53 1
"4" 4 484 1720 331 2
"5" 0 40 447 481 0
"6" 0 0 65 100 6
"7" 0 0 1 2 0
----- l = 0.89
"2" "3" "4" "5" "6"
"1" 1 17 5 3 0
"2" 10 135 38 12 0
"3" 1 1498 323 91 0
"4" 1 902 1116 520 2
"5" 0 92 294 581 1
"6" 0 4 45 117 5
"7" 0 0 0 3 0
----- l = 0.9
"1" "2" "3" "4" "5" "6"
"1" 1 0 16 7 1 1
"2" 0 3 136 52 4 0
"3" 0 1 1426 465 21 0
"4" 0 3 755 1575 206 2
"5" 0 1 62 516 387 2
"6" 0 0 7 90 65 9
"7" 0 0 0 1 2 0
----- l = 0.91
"2" "3" "4" "5" "6"
"1" 0 16 8 2 0
"2" 9 101 76 9 0
"3" 3 1154 719 37 0
"4" 0 433 1836 271 1
"5" 0 25 497 445 1
"6" 0 2 79 86 4
"7" 0 0 0 3 0
----- l = 0.92
"2" "3" "4" "5" "6"
"1" 1 19 5 1 0
"2" 14 113 67 1 0
"3" 3 1319 578 13 0
"4" 4 621 1786 129 1
"5" 0 64 584 319 1
"6" 0 3 97 64 7
"7" 0 0 0 3 0
----- l = 0.93
"2" "3" "4" "5" "6"
"1" 0 16 9 0 1
"2" 4 106 83 2 0
"3" 0 1128 761 23 1
"4" 0 428 1989 121 3
"5" 0 28 622 313 5
"6" 0 2 94 61 14
"7" 0 0 1 2 0
----- l = 0.94
"2" "3" "4" "5" "6"
"1" 0 16 9 1 0
"2" 11 98 81 5 0
"3" 3 1088 777 45 0
"4" 2 382 1942 214 1
"5" 0 24 542 402 0
"6" 0 0 87 81 3
"7" 0 0 0 3 0
----- l = 0.95
"2" "3" "4" "5" "6"
"1" 2 16 7 1 0
"2" 16 123 53 3 0
"3" 6 1465 423 19 0
"4" 3 815 1593 129 1
"5" 0 89 578 301 0
"6" 0 9 93 65 4
"7" 0 0 0 3 0
----- l = 0.96
"2" "3" "4" "5" "6"
"1" 0 13 12 1 0
"2" 9 84 100 2 0
"3" 2 926 974 11 0
"4" 3 275 2138 123 2
"5" 0 11 656 296 5
"6" 0 0 113 49 9
"7" 0 0 1 2 0
----- l = 0.97
"2" "3" "4" "5" "6"
"1" 1 5 17 2 1
"2" 20 39 123 13 0
"3" 4 547 1248 114 0
"4" 5 125 1838 572 1
"5" 0 4 393 571 0
"6" 0 0 51 118 2
"7" 0 0 0 3 0
----- l = 0.98
"2" "3" "4" "5" "6"
"1" 3 10 12 0 1
"2" 22 56 117 0 0
"3" 14 814 1083 0 2
"4" 7 216 2293 23 2
"5" 0 7 814 144 3
"6" 0 0 142 21 8
"7" 0 0 3 0 0
----- l = 0.99
"2" "3" "4" "5" "6"
"1" 3 14 7 2 0
"2" 13 113 66 3 0
"3" 7 1299 571 36 0
"4" 5 586 1695 255 0
"5" 0 42 496 430 0
"6" 0 4 71 92 4
"7" 0 0 0 3 0
----- l = 1
"2" "3" "4" "5" "6"
"1" 1 14 9 1 1
"2" 19 127 45 4 0
"3" 8 1408 438 58 1
"4" 9 680 1438 413 1
"5" 0 73 397 498 0
"6" 0 7 60 100 4
"7" 0 0 0 3 0
