max iter: 1000 size: 100
----- l = 0.01
"2" "3" "4" "5" "6"
"5" 0 31 442 300 11
"6" 0 1 81 42 32
"7" 0 0 1 2 0
----- l = 0.38
"2" "3" "4" "5" "6"
"1" 0 10 6 0 0
"2" 41 63 38 2 0
"3" 4 948 352 9 0
"4" 1 282 1616 71 1
"5" 0 43 358 381 2
"6" 0 7 85 35 29
"7" 0 0 2 1 0
----- l = 0.39
"2" "3" "4" "5" "6"
"1" 0 11 5 0 0
"2" 51 71 19 3 0
"3" 6 1021 258 27 1
"4" 3 364 1445 152 7
"5" 0 44 278 452 10
"6" 0 5 61 50 40
"7" 0 0 1 1 1
----- l = 0.4
"2" "3" "4" "5" "6"
"1" 1 10 4 1 0
"2" 59 54 29 1 1
"3" 13 936 328 36 0
"4" 9 265 1520 175 2
"5" 1 37 267 474 5
"6" 0 7 46 66 37
"7" 0 0 0 3 0
----- l = 0.41
"2" "3" "4" "5" "6"
"1" 2 10 3 1 0
"2" 51 68 21 4 0
"3" 2 1012 264 33 2
"4" 3 332 1426 209 1
"5" 0 48 226 507 3
"6" 0 5 59 77 15
"7" 0 0 0 3 0
----- l = 0.42
"2" "3" "4" "5" "6"
"1" 3 3 10 0 0
"2" 57 35 51 1 0
"3" 18 792 488 12 3
"4" 10 146 1743 63 9
"5" 0 17 419 323 25
"6" 0 2 79 25 50
"7" 0 0 0 2 1
----- l = 0.43
"2" "3" "4" "5" "6"
"1" 2 6 6 2 0
"2" 60 47 36 1 0
"3" 8 974 305 26 0
"4" 9 264 1564 131 3
"5" 1 22 317 440 4
"6" 0 3 68 49 36
"7" 0 0 0 3 0
----- l = 0.44
"2" "3" "4" "5" "6"
"1" 0 11 4 1 0
"2" 42 73 24 5 0
"3" 4 1052 222 33 2
"4" 7 382 1353 222 7
"5" 0 39 232 505 8
"6" 0 7 45 65 39
"7" 0 0 0 3 0
----- l = 0.45
"2" "3" "4" "5" "6"
"1" 1 10 4 1 0
"2" 44 71 27 2 0
"3" 3 972 306 30 2
"4" 5 289 1526 151 0
"5" 0 29 278 473 4
"6" 0 9 61 53 33
"7" 0 0 1 1 1
----- l = 0.46
"2" "3" "4" "5" "6"
"1" 2 8 5 1 0
"2" 52 67 23 2 0
"3" 8 967 289 48 1
"4" 5 274 1455 234 3
"5" 0 43 199 536 6
"6" 0 7 40 76 33
"7" 0 0 0 3 0
----- l = 0.47
"2" "3" "4" "5" "6"
"1" 1 9 4 2 0
"2" 50 58 30 6 0
"3" 6 926 355 24 2
"4" 4 214 1611 140 2
"5" 0 28 305 444 7
"6" 0 4 66 58 28
"7" 0 0 1 2 0
----- l = 0.48
"2" "3" "4" "5" "6"
"1" 2 4 9 1 0
"2" 59 50 32 3 0
"3" 10 844 440 15 4
"4" 4 178 1691 91 7
"5" 0 20 352 403 9
"6" 1 5 80 32 38
"7" 0 0 0 2 1
----- l = 0.49
"2" "3" "4" "5" "6"
"1" 0 9 6 1 0
"2" 38 64 42 0 0
"3" 7 950 346 9 1
"4" 3 230 1662 70 6
"5" 1 33 377 366 7
"6" 0 3 81 34 38
"7" 0 0 2 1 0
----- l = 0.5
"2" "3" "4" "5" "6"
"1" 0 8 8 0 0
"2" 45 65 31 3 0
"3" 4 957 336 15 1
"4" 4 225 1635 95 12
"5" 0 45 324 396 19
"6" 0 7 52 35 62
"7" 0 0 0 3 0
----- l = 0.51
"2" "3" "4" "5" "6"
"1" 1 9 6 0 0
"2" 59 50 32 3 0
"3" 23 989 264 36 1
"4" 10 309 1450 199 3
"5" 1 41 240 496 6
"6" 0 0 57 62 37
"7" 0 0 1 2 0
----- l = 0.52
"2" "3" "4" "5" "6"
"1" 0 9 6 0 1
"2" 45 64 30 4 1
"3" 8 924 355 23 3
