max iter: 1000 size: 100
"1" "2" "3" "4" "5" "6"
"1" 5 0 5 0 0 0
"2" 0 10 25 15 1 0
"3" 0 0 523 70 7 0
"4" 0 1 73 492 4 0
"5" 0 0 11 44 129 0
"6" 0 0 0 4 6 5
----- l = 0.47
"1" "2" "3" "4" "5" "6"
"1" 5 0 5 0 0 0
"2" 1 18 17 15 0 0
"3" 1 1 529 64 5 0
"4" 0 3 93 461 13 0
"5" 0 0 12 36 136 0
"6" 0 0 2 4 7 2
----- l = 0.48
"1" "2" "3" "4" "5" "6"
"1" 5 0 2 3 0 0
"2" 0 14 20 17 0 0
"3" 0 2 508 81 9 0
"4" 0 2 70 484 14 0
"5" 0 0 4 31 149 0
"6" 0 0 0 3 7 5
----- l = 0.49
"1" "2" "3" "4" "5" "6"
"1" 5 1 1 3 0 0
"2" 0 22 12 16 1 0
"3" 0 16 508 66 10 0
"4" 0 3 63 472 32 0
"5" 0 0 6 33 145 0
"6" 0 0 1 4 6 4
----- l = 0.5
"1" "2" "3" "4" "5" "6"
"1" 4 0 4 1 1 0
"2" 0 19 14 18 0 0
"3" 0 6 492 98 4 0
"4" 0 1 56 502 11 0
"5" 0 0 9 51 123 1
"6" 0 0 0 6 4 5
----- l = 0.51
"1" "2" "3" "4" "5" "6"
"1" 5 0 3 2 0 0
"2" 0 13 19 19 0 0
"3" 0 2 519 73 6 0
"4" 0 0 63 502 5 0
"5" 0 0 8 44 131 1
"6" 0 0 1 4 5 5
----- l = 0.52
"1" "2" "3" "4" "5" "6"
"1" 5 0 4 0 1 0
"2" 1 9 29 8 4 0
"3" 0 1 520 60 19 0
"4" 0 0 89 444 37 0
"5" 0 0 15 18 151 0
"6" 0 0 1 1 9 4
----- l = 0.53
"1" "2" "3" "4" "5" "6"
"1" 3 1 5 1 0 0
"2" 0 11 29 10 1 0
"3" 0 0 554 45 1 0
"4" 0 1 91 471 7 0
"5" 0 0 13 41 130 0
"6" 0 0 3 6 3 3
----- l = 0.54
"1" "2" "3" "4" "5" "6"
"1" 3 0 5 2 0 0
"2" 0 15 24 9 3 0
"3" 0 0 533 58 9 0
"4" 0 2 106 442 20 0
"5" 0 0 5 34 145 0
"6" 0 0 0 4 7 4
----- l = 0.55
"1" "2" "3" "4" "5" "6"
"1" 2 1 5 2 0 0
"2" 0 12 20 18 1 0
"3" 0 1 519 74 6 0
"4" 0 0 73 480 16 1
"5" 0 0 7 45 132 0
"6" 0 0 0 3 6 6
----- l = 0.56
"1" "2" "3" "4" "5" "6"
"1" 7 0 2 1 0 0
"2" 1 9 20 19 2 0
"3" 1 0 503 90 6 0
"4" 0 0 59 478 33 0
"5" 0 0 3 38 143 0
"6" 0 0 1 3 7 4
----- l = 0.57
"1" "2" "3" "4" "5" "6"
"1" 4 1 4 0 1 0
"2" 0 15 19 12 5 0
"3" 0 2 545 42 11 0
"4" 0 1 114 418 37 0
"5" 0 0 12 25 147 0
"6" 0 0 0 3 10 2
----- l = 0.58
"1" "2" "3" "4" "5" "6"
"1" 4 1 3 1 1 0
"2" 0 13 28 8 2 0
"3" 0 0 532 55 13 0
"4" 0 0 89 459 22 0
"5" 0 1 12 21 150 0
"6" 0 0 0 3 9 3
----- l = 0.59
"1" "2" "3" "4" "5" "6"
"1" 5 1 1 3 0 0
"2" 0 12 12 27 0 0
"3" 2 1 486 103 7 1
"4" 0 2 42 509 17 0
"5" 0 0 7 32 145 0
"6" 0 0 0 4 7 4
----- l = 0.6
"1" "2" "3" "4" "5" "6"
"1" 3 0 6 1 0 0
"2" 0 10 27 11 3 0
"3" 0 1 530 61 8 0
"4" 0 1 76 487 6 0
"5" 0 0 11 40 133 0
"6" 0 0 1 2 7 5
----- l = 0.61
"1" "2" "3" "4" "5" "6"
"1" 5 2 2 1 0 0
"2" 1 14 14 22 0 0
"3" 1 4 492 95 8 0
"4" 1 2 57 492 18 0
"5" 0 0 6 43 135 0
"6" 0 0 0 2 7 6
----- l = 0.62
"1" "2" "3" "4" "5" "6"
"1" 5 0 4 1 0 0
"2" 1 13 22 12 3 0
"3" 0 0 518 74 8 0
"4" 0 2 69 483 16 0
"5" 0 0 7 36 141 0
"6" 0 0 0 5 5 5
----- l = 0.63
"1" "2" "3" "4" "5" "6"
"1" 3 1 6 0 0 0
"2" 0 17 22 11 1 0
"3" 0 5 529 60 6 0
"4" 0 5 89 458 18 0
"5" 0 0 13 40 131 0
"6" 0 0 1 6 4 4
----- l = 0.64
"1" "2" "3" "4" "5" "6"
"1" 6 0 4 0 0 0
"2" 0 24 14 13 0 0
"3" 1 0 540 52 7 0
"4" 0 1 72 488 9 0
"5" 0 0 14 33 137 0
"6" 0 0 0 1 7 7
----- l = 0.65
"1" "2" "3" "4" "5" "6"
"1" 1 0 5 4 0 0
"2" 0 14 19 17 1 0
"3" 0 3 496 92 9 0
"4" 0 5 80 470 14 1
"5" 0 0 7 42 135 0
"6" 0 0 0 1 9 5
----- l = 0.66
"1" "2" "3" "4" "5" "6"
"1" 3 2 3 2 0 0
"2" 0 15 24 11 1 0
"3" 0 1 528 65 6 0
"4" 0 2 63 494 11 0
"5" 0 0 11 24 149 0
"6" 0 0 0 1 9 5
----- l = 0.67
"1" "2" "3" "4" "5" "6"
"1" 7 0 1 2 0 0
"2" 1 17 16 17 0 0
"3" 0 2 514 77 7 0
"4" 0 2 63 489 16 0
"5" 0 0 5 23 156 0
"6" 0 0 0 3 7 5
----- l = 0.68
"1" "2" "3" "4" "5" "6"
"1" 4 0 4 2 0 0
"2" 0 18 14 19 0 0
"3" 0 0 494 102 4 0
"4" 0 2 45 510 12 1
"5" 0 0 7 48 129 0
"6" 0 0 0 4 5 6
----- l = 0.69
"1" "2" "3" "4" "5" "6"
"1" 4 0 5 1 0 0
"2" 1 11 27 11 1 0
"3" 0 0 540 48 12 0
"4" 0 0 94 451 25 0
"5" 0 0 10 20 154 0
"6" 0 0 0 4 7 4
----- l = 0.7
"1" "2" "3" "4" "5" "6"
"1" 7 0 2 1 0 0
"2" 2 14 12 22 1 0
"3" 0 5 506 81 7 1
"4" 0 1 55 489 24 1
"5" 0 1 13 27 143 0
"6" 0 0 0 3 6 6
----- l = 0.71
"1" "2" "3" "4" "5" "6"
"1" 1 3 4 2 0 0
"2" 0 14 26 11 0 0
"3" 0 1 527 64 8 0
"4" 0 1 85 468 16 0
"5" 0 0 6 38 140 0
"6" 0 0 0 3 7 5
----- l = 0.72
"1" "2" "3" "4" "5" "6"
"1" 4 0 4 2 0 0
"2" 0 18 19 14 0 0
"3" 0 2 499 93 6 0
"4" 0 5 56 490 18 1
"5" 0 0 7 49 128 0
"6" 0 0 0 8 3 4
----- l = 0.73
"1" "2" "3" "4" "5" "6"
"1" 4 1 2 3 0 0
"2" 0 16 21 8 6 0
"3" 1 2 523 66 8 0
"4" 0 2 72 487 9 0
"5" 0 2 13 32 137 0
"6" 0 0 2 4 5 4
----- l = 0.74
"1" "2" "3" "4" "5" "6"
"1" 4 0 2 3 1 0
"2" 0 10 19 22 0 0
"3" 0 1 515 77 7 0
"4" 0 0 54 504 12 0
"5" 0 0 6 34 143 1
"6" 0 0 1 3 7 4
----- l = 0.75
"1" "2" "3" "4" "5" "6"
"1" 5 1 3 1 0 0
"2" 0 15 23 13 0 0
"3" 0 0 546 45 9 0
"4" 0 2 68 488 12 0
"5" 0 0 13 28 142 1
"6" 0 0 0 2 8 5
----- l = 0.76
"1" "2" "3" "4" "5" "6"
"1" 6 0 3 1 0 0
"2" 0 16 20 15 0 0
"3" 0 0 529 64 6 1
"4" 0 2 75 481 12 0
"5" 0 0 4 43 137 0
"6" 0 0 1 8 2 4
----- l = 0.77
"1" "2" "3" "4" "5" "6"
"1" 2 1 6 1 0 0
"2" 0 16 20 12 3 0
"3" 0 7 506 75 12 0
"4" 0 1 73 468 27 1
"5" 0 3 12 24 145 0
"6" 0 0 0 5 8 2
----- l = 0.78
"1" "2" "3" "4" "5" "6"
"1" 7 0 1 2 0 0
"2" 0 10 18 21 2 0
"3" 1 0 495 94 10 0
"4" 0 0 48 491 31 0
"5" 0 0 3 34 147 0
"6" 0 0 1 2 10 2
----- l = 0.79
"1" "2" "3" "4" "5" "6"
"1" 5 0 3 2 0 0
"2" 0 19 16 15 1 0
"3" 0 0 523 65 11 1
"4" 0 1 61 478 30 0
"5" 0 0 8 19 157 0
"6" 0 0 1 5 5 4
----- l = 0.8
"1" "2" "3" "4" "5" "6"
"1" 6 0 1 2 1 0
"2" 1 22 12 13 3 0
"3" 0 6 504 82 8 0
"4" 0 4 49 496 21 0
"5" 0 1 7 31 145 0
"6" 0 0 0 2 7 6
